SEED.ID,Height_BLUE,DTF_BLUE,clan,family_pi
GMS_MN2025_210098,314,60,Mota Maradi,PI607931
GMS_MN2025_218101,156.25,55,IRAT204,PI533965
GMS_MN2025_112026,287.75,61,Mota Maradi,PI576387
GMS_MN2025_222084,165,55,IRAT204,PI656026
GMS_MN2025_111080,255,55,IRAT204,PI534037
GMS_MN2025_226083,302,49,CSM-63,PI534108
GMS_MN2025_224090,178.75,53,IRAT204,PI656026
GMS_MN2025_228099,286,53,Mota Maradi,PI576387
GMS_MN2025_214082,226.5,56,Mota Maradi,PI597945
GMS_MN2025_213089,287,53,Mota Maradi,PI595745
GMS_MN2025_128026,294.5,70,Mota Maradi,PI576387
GMS_MN2025_124010,333.25,66,CSM-63,PI595739
GMS_MN2025_113029,254,53,Mota Maradi,PI533788
GMS_MN2025_225089,198.75,56,Mota Maradi,PI607931
GMS_MN2025_120078,134.25,55,IRAT204,PI656026
GMS_MN2025_129037,254.25,63,IRAT204,PI656068
GMS_MN2025_105032,199,56,Mota Maradi,PI597945
GMS_MN2025_117076,231.75,49,Mota Maradi,PI533788
GMS_MN2025_108011,231.75,70,IRAT204,PI597980
GMS_MN2025_117008,141,53,IRAT204,PI656026
GMS_MN2025_229098,219.25,53,IRAT204,PI533799
GMS_MN2025_134028,232.5,54,IRAT204,PI533912
GMS_MN2025_228096,139.75,55,IRAT204,PI656071
GMS_MN2025_130036,96.75,54,IRAT204,PI656081
GMS_MN2025_110035,132,56,IRAT204,PI655975
GMS_MN2025_230100,215.25,53,IRAT204,PI656096
GMS_MN2025_104032,356.75,66,CSM-63,PI534127
GMS_MN2025_133040,291,59,IRAT204,PI656071
GMS_MN2025_218092,289.25,55,Mota Maradi,PI533788
GMS_MN2025_120031,312,59,Mota Maradi,PI576387
GMS_MN2025_219093,181,53,IRAT204,PI533788
GMS_MN2025_113077,269.5,53,Mota Maradi,PI607931
GMS_MN2025_126034,146.75,56,Macia,PI533936
GMS_MN2025_125029,363,54,CSM-63,PI561472
GMS_MN2025_211086,296,53,Mota Maradi,PI656005
GMS_MN2025_125042,223.5,54,Mota Maradi,PI561071
GMS_MN2025_119028,303.75,66,Mota Maradi,PI607931
GMS_MN2025_224083,160.5,53,Macia,PI656031
GMS_MN2025_132019,140.75,50,IRAT204,PI533961
GMS_MN2025_214097,281.5,55,Mota Maradi,PI607931
GMS_MN2025_111028,264.5,59,Mota Maradi,PI576387
GMS_MN2025_118028,135.75,53,IRAT204,PI576435
GMS_MN2025_227090,391.75,53,CSM-63,PI595739
GMS_MN2025_216088,300.25,55,Mota Maradi,PI533949
GMS_MN2025_116013,325.75,70,CSM-63,PI656082
GMS_MN2025_216089,131,53,IRAT204,PI533957
GMS_MN2025_213094,120.75,53,IRAT204,PI595714
GMS_MN2025_231087,127.75,53,IRAT204,PI533991
GMS_MN2025_107033,154,53,Macia,PI656029
GMS_MN2025_110034,137.25,53,IRAT204,PI595714
GMS_MN2025_118078,141.5,48,IRAT204,PI576332
GMS_MN2025_225086,222.75,55,Mota Maradi,PI597950
GMS_MN2025_214092,164.25,53,IRAT204,PI656073
GMS_MN2025_231092,290.25,56,CSM-63,PI561472
GMS_MN2025_114078,292.5,60,CSM-63,PI534127
GMS_MN2025_219081,285.75,53,IRAT204,PI595720
GMS_MN2025_129077,283.25,55,Mota Maradi,PI607931
GMS_MN2025_229103,101,56,IRAT204,PI656058
GMS_MN2025_135029,120.75,64,IRAT204,PI533866
GMS_MN2025_106018,258.25,59,Mota Maradi,PI656005
GMS_MN2025_211103,280,73,CSM-63,PI534127
GMS_MN2025_106011,121.75,70,IRAT204,PI656073
GMS_MN2025_218102,295.25,49,CSM-63,PI534127
GMS_MN2025_106038,329.5,59,CSM-63,PI576401
GMS_MN2025_134021,133.25,54,IRAT204,PI533961
GMS_MN2025_210085,202.5,53,Mota Maradi,PI533788
GMS_MN2025_212092,333.5,54,CSM-63,PI534108
GMS_MN2025_138034,146,54,IRAT204,PI653617
GMS_MN2025_106015,129,65,IRAT204,PI655993
GMS_MN2025_110009,185.25,66,Macia,PI24969
GMS_MN2025_135010,115.75,60,IRAT204,PI656096
GMS_MN2025_230086,130.75,49,IRAT204,PI533961
GMS_MN2025_214094,191,55,Mota Maradi,PI533788
GMS_MN2025_131011,118.5,56,IRAT204,PI655977
GMS_MN2025_132015,130,64,Macia,PI656029
GMS_MN2025_130008,173,60,IRAT204,PI595714
GMS_MN2025_227089,154,56,IRAT204,PI533961
GMS_MN2025_119017,333.5,54,CSM-63,PI656012
GMS_MN2025_122018,309,56,IRAT204,PI656073
GMS_MN2025_113013,265.25,66,Mota Maradi,PI576387
GMS_MN2025_130080,190.5,49,IRAT204,PI533912
GMS_MN2025_104041,281.5,59,Mota Maradi,PI607931
GMS_MN2025_221099,116.25,70,IRAT204,PI655975
GMS_MN2025_228081,183.75,53,IRAT204,PI656025
GMS_MN2025_229084,216.5,53,IRAT204,PI533985
GMS_MN2025_213101,135.25,48,CSM-63,PI534127
GMS_MN2025_230082,279.5,53,Mota Maradi,PI576387
GMS_MN2025_131032,217.75,54,Macia,PI533921
GMS_MN2025_120026,247.75,56,Mota Maradi,PI576387
GMS_MN2025_135018,189.5,64,Mota Maradi,PI597945
GMS_MN2025_136027,279.75,54,Mota Maradi,PI576387
GMS_MN2025_118029,166.5,53,Mota Maradi,PI597945
GMS_MN2025_214103,305,53,Mota Maradi,PI576387
GMS_MN2025_122033,198,54,IRAT204,PI656101
